var	ctrl	d3g1lg4	d3g2l
Variant_000510	42	25	13
Variant_000511	43	18	8
Variant_000512	28	20	7
Variant_000513	76	63	40
Variant_000514	38	29	14
Variant_000515	42	24	21
Variant_000516	27	12	5
Variant_000517	38	26	17
Variant_000518	27	22	15
Variant_000519	29	20	20
Variant_000520	16	6	4
Variant_000521	37	41	30
Variant_000522	28	19	9
Variant_000523	24	10	7
Variant_000524	16	10	8
Variant_000525	27	13	5
Variant_000526	21	15	2
Variant_000527	26	8	2
Variant_000528	13	9	5
Variant_000529	31	11	9
Variant_000530	29	34	24
Variant_000531	28	21	16
Variant_000532	15	27	9
Variant_000533	24	7	11
Variant_000534	21	14	9
Variant_000535	25	2	2
Variant_000536	12	0	0
Variant_000537	26	16	10
Variant_000538	14	12	5
Variant_000539	18	4	1
Variant_000540	18	16	11
Variant_000541	23	2	0
Variant_000542	11	6	6
Variant_000543	21	9	1
Variant_000544	15	10	7
Variant_000545	43	26	19
Variant_000546	23	23	17
Variant_000547	32	26	8
Variant_000548	33	5	11
Variant_000549	15	5	2
Variant_000550	19	11	8
Variant_000551	19	12	9
Variant_000552	20	16	7
Variant_000553	30	11	10
Variant_000554	17	12	8
Variant_000555	15	5	6
Variant_000556	12	4	5
Variant_000557	22	17	9
Variant_000558	15	12	8
Variant_000559	23	1	3
Variant_000560	12	5	1
Variant_000561	37	17	5
Variant_000562	33	16	4
Variant_000563	28	24	12
Variant_000564	13	11	6
Variant_000565	43	15	15
Variant_000566	17	6	7
Variant_000567	19	19	19
Variant_000568	8	0	0
Variant_000569	26	10	9
Variant_000570	21	7	5
Variant_000571	24	10	4
Variant_000572	11	4	7
Variant_000573	20	4	6
Variant_000574	13	5	2
Variant_000575	18	9	3
Variant_000576	11	6	6
Variant_000577	123	103	66
Variant_000578	67	58	29
Variant_000579	65	60	35
Variant_000580	53	32	17
Variant_000581	73	49	38
Variant_000582	46	27	20
Variant_000583	61	49	33
Variant_000584	38	19	24
Variant_000585	62	35	15
Variant_000586	45	36	25
Variant_000587	41	22	10
Variant_000588	27	18	5
Variant_000589	58	17	19
Variant_000590	27	14	7
Variant_000591	44	16	13
Variant_000592	22	16	9
Variant_000593	66	51	33
Variant_000594	49	38	22
Variant_000595	39	34	29
Variant_000596	24	45	24
Variant_000597	28	31	11
Variant_000598	24	5	3
Variant_000599	34	28	12
Variant_000600	20	39	21
Variant_000601	48	41	14
Variant_000602	20	19	6
Variant_000603	32	12	11
Variant_000604	18	12	10
Variant_000605	36	10	8
Variant_000606	29	15	10
Variant_000607	33	9	2
Variant_000608	19	7	0
Variant_000609	82	57	43
Variant_000610	40	45	36
Variant_000611	38	44	31
Variant_000612	30	19	6
Variant_000613	44	36	17
Variant_000614	33	8	6
Variant_000615	33	31	18
Variant_000616	18	14	9
Variant_000617	47	19	9
Variant_000618	34	18	10
Variant_000619	32	12	7
Variant_000620	24	7	4
Variant_000621	49	25	7
Variant_000622	40	11	3
Variant_000623	36	22	11
Variant_000624	19	2	2
Variant_000625	47	40	17
Variant_000626	32	13	11
Variant_000627	32	26	17
Variant_000628	37	26	14
Variant_000629	36	28	12
Variant_000630	29	16	4
Variant_000631	28	33	27
Variant_000632	15	19	10
Variant_000633	57	15	10
Variant_000634	39	7	6
Variant_000635	38	10	10
Variant_000636	17	7	2
Variant_000637	31	5	7
Variant_000638	27	8	9
Variant_000639	30	9	9
Variant_000640	18	7	4
Variant_000641	93	109	58
Variant_000642	65	71	39
Variant_000643	71	34	28
Variant_000644	35	31	8
Variant_000645	52	45	30
Variant_000646	28	27	13
Variant_000647	30	15	9
Variant_000648	29	26	19
Variant_000649	52	30	16
Variant_000650	33	21	13
Variant_000651	42	15	10
Variant_000652	20	26	17
Variant_000653	61	32	20
Variant_000654	23	12	8
Variant_000655	40	9	7
Variant_000656	17	8	3
Variant_000657	49	54	30
Variant_000658	43	46	22
Variant_000659	33	47	23
Variant_000660	28	40	20
Variant_000661	32	7	6
Variant_000662	20	16	6
Variant_000663	20	7	8
Variant_000664	18	10	6
Variant_000665	46	22	10
Variant_000666	23	20	8
Variant_000667	28	6	5
Variant_000668	24	17	6
Variant_000669	31	23	16
Variant_000670	28	9	6
Variant_000671	23	4	3
Variant_000672	12	13	10
Variant_000673	36	25	22
Variant_000674	35	20	9
Variant_000675	29	17	10
Variant_000676	29	10	5
Variant_000677	31	18	16
Variant_000678	20	19	11
Variant_000679	37	30	13
Variant_000680	17	15	8
Variant_000681	47	34	16
Variant_000682	27	31	11
Variant_000683	34	9	8
Variant_000684	15	3	3
Variant_000685	39	16	5
Variant_000686	19	2	2
Variant_000687	25	4	1
Variant_000688	25	3	5
Variant_000689	44	29	14
Variant_000690	46	33	23
Variant_000691	24	7	6
Variant_000692	32	4	3
Variant_000693	32	35	19
Variant_000694	19	12	3
Variant_000695	23	13	5
Variant_000696	13	14	15
Variant_000697	42	17	2
Variant_000698	25	17	14
Variant_000699	28	1	3
Variant_000700	12	4	2
Variant_000701	42	13	10
Variant_000702	22	9	8
Variant_000703	24	6	6
Variant_000704	15	5	1
Variant_000705	169	145	106
Variant_000706	96	84	59
Variant_000707	79	76	54
Variant_000708	56	48	42
Variant_000709	123	86	51
Variant_000710	55	45	21
Variant_000711	64	59	23
Variant_000712	50	29	19
Variant_000713	106	108	62
Variant_000714	55	57	30
Variant_000715	52	25	13
Variant_000716	41	23	12
Variant_000717	72	35	20
Variant_000718	47	25	12
Variant_000719	47	32	18
Variant_000720	53	31	10
Variant_000721	68	77	33
Variant_000722	66	43	29
Variant_000723	47	46	31
Variant_000724	36	54	35
Variant_000725	65	80	47
Variant_000726	35	17	11
Variant_000727	44	20	16
Variant_000728	27	13	11
Variant_000729	63	31	21
Variant_000730	49	31	7
Variant_000731	47	12	12
Variant_000732	23	13	4
Variant_000733	56	20	11
Variant_000734	29	9	9
Variant_000735	38	24	12
Variant_000736	23	5	2
Variant_000737	82	81	52
Variant_000738	66	57	24
Variant_000739	50	34	21
Variant_000740	50	32	27
Variant_000741	70	49	27
Variant_000742	49	23	21
Variant_000743	45	26	12
Variant_000744	39	26	12
Variant_000745	57	24	16
Variant_000746	30	19	14
Variant_000747	35	19	8
Variant_000748	25	11	6
Variant_000749	60	21	10
Variant_000750	36	21	11
Variant_000751	33	11	6
Variant_000752	28	11	0
Variant_000753	92	77	48
Variant_000754	49	47	23
Variant_000755	47	11	7
Variant_000756	44	33	24
Variant_000757	66	74	30
Variant_000758	40	20	15
Variant_000759	38	38	30
Variant_000760	27	17	8
Variant_000761	52	34	20
Variant_000762	46	20	22
Variant_000763	51	12	15
Variant_000764	19	9	10
Variant_000765	50	20	24
Variant_000766	33	13	11
Variant_000767	30	4	7
Variant_000768	23	6	7
Variant_000769	89	93	65
Variant_000770	66	116	54
Variant_000771	77	39	22
Variant_000772	39	51	36
Variant_000773	64	66	28
Variant_000774	35	6	7
Variant_000775	42	15	8
Variant_000776	33	18	12
Variant_000777	60	34	32
Variant_000778	42	18	13
Variant_000779	31	33	14
Variant_000780	28	9	7
Variant_000781	70	15	6
Variant_000782	36	20	13
Variant_000783	21	9	9
Variant_000784	37	10	11
Variant_000785	51	42	30
Variant_000786	47	54	32
Variant_000787	41	39	31
Variant_000788	25	36	15
Variant_000789	31	7	7
Variant_000790	39	13	5
Variant_000791	36	29	18
Variant_000792	24	17	7
Variant_000793	49	49	20
Variant_000794	29	26	17
Variant_000795	38	12	7
Variant_000796	20	17	18
Variant_000797	42	21	7
Variant_000798	22	13	12
Variant_000799	28	6	6
Variant_000800	25	10	2
Variant_000801	59	35	29
Variant_000802	39	37	36
Variant_000803	23	30	8
Variant_000804	23	22	7
Variant_000805	52	17	14
Variant_000806	27	14	15
Variant_000807	36	9	6
Variant_000808	21	11	6
Variant_000809	54	36	24
Variant_000810	23	23	10
Variant_000811	28	9	7
Variant_000812	22	16	17
Variant_000813	36	18	12
Variant_000814	24	10	3
Variant_000815	19	3	2
Variant_000816	22	10	6
Variant_000817	43	34	16
Variant_000818	44	52	28
Variant_000819	28	30	14
Variant_000820	33	59	20
Variant_000821	35	21	12
Variant_000822	37	14	11
Variant_000823	19	6	2
Variant_000824	21	6	4
Variant_000825	55	15	15
Variant_000826	33	14	8
Variant_000827	25	17	12
Variant_000828	14	19	9
Variant_000829	37	13	10
Variant_000830	27	4	1
Variant_000831	35	5	2
Variant_000832	16	17	4
Variant_000833	157	192	123
Variant_000834	92	101	66
Variant_000835	79	118	70
Variant_000836	51	58	59
Variant_000837	96	86	54
Variant_000838	44	35	24
Variant_000839	60	31	17
Variant_000840	42	33	19
Variant_000841	90	70	36
Variant_000842	43	49	19
Variant_000843	32	37	17
Variant_000844	34	27	14
Variant_000845	89	34	20
Variant_000846	45	8	8
Variant_000847	38	10	6
Variant_000848	21	11	12
Variant_000849	94	115	92
Variant_000850	48	100	44
Variant_000851	48	53	49
Variant_000852	38	17	10
Variant_000853	61	55	30
Variant_000854	51	26	13
Variant_000855	50	24	23
Variant_000856	27	19	10
Variant_000857	64	25	10
Variant_000858	50	18	8
Variant_000859	42	21	7
Variant_000860	39	35	18
Variant_000861	58	28	15
Variant_000862	43	16	17
Variant_000863	30	10	7
Variant_000864	38	8	2
Variant_000865	84	87	54
Variant_000866	55	24	21
Variant_000867	61	52	32
Variant_000868	43	74	43
Variant_000869	44	30	17
Variant_000870	40	30	13
Variant_000871	48	16	11
Variant_000872	21	5	2
Variant_000873	60	31	18
Variant_000874	37	12	4
Variant_000875	37	45	21
Variant_000876	23	22	2
Variant_000877	53	23	14
Variant_000878	27	11	4
Variant_000879	29	9	3
Variant_000880	16	17	9
Variant_000881	59	60	43
Variant_000882	42	45	18
Variant_000883	41	39	16
Variant_000884	45	40	28
Variant_000885	45	27	12
Variant_000886	31	16	6
Variant_000887	36	8	6
Variant_000888	19	21	6
Variant_000889	63	42	30
Variant_000890	31	19	14
Variant_000891	48	29	13
Variant_000892	27	10	9
Variant_000893	47	12	12
Variant_000894	20	13	8
Variant_000895	38	15	9
Variant_000896	21	18	10
Variant_000897	151	177	120
Variant_000898	77	86	45
Variant_000899	87	88	41
Variant_000900	67	49	34
Variant_000901	72	35	23
Variant_000902	43	22	9
Variant_000903	80	34	25
Variant_000904	46	21	18
Variant_000905	92	56	35
Variant_000906	60	51	28
Variant_000907	44	29	12
Variant_000908	23	14	6
Variant_000909	85	36	22
Variant_000910	57	18	12
Variant_000911	60	22	12
Variant_000912	37	12	6
Variant_000913	84	103	65
Variant_000914	64	97	54
Variant_000915	62	76	33
Variant_000916	34	23	6
Variant_000917	65	35	20
Variant_000918	44	39	28
Variant_000919	42	34	20
Variant_000920	27	25	17
Variant_000921	70	36	13
Variant_000922	48	38	19
Variant_000923	49	6	9
Variant_000924	27	23	18
Variant_000925	50	12	14
Variant_000926	39	15	17
Variant_000927	34	11	4
Variant_000928	42	19	10
Variant_000929	93	126	53
Variant_000930	70	70	31
Variant_000931	47	22	8
Variant_000932	48	31	19
Variant_000933	67	33	16
Variant_000934	28	16	13
Variant_000935	49	21	13
Variant_000936	36	6	3
Variant_000937	60	34	18
Variant_000938	36	59	24
Variant_000939	36	16	19
Variant_000940	28	27	22
Variant_000941	58	30	17
Variant_000942	34	13	8
Variant_000943	44	9	8
Variant_000944	19	10	7
Variant_000945	69	62	47
Variant_000946	60	25	12
Variant_000947	58	34	27
Variant_000948	28	21	18
Variant_000949	70	23	10
Variant_000950	43	14	8
Variant_000951	43	17	8
Variant_000952	32	26	13
Variant_000953	62	35	23
Variant_000954	44	47	35
Variant_000955	31	6	3
Variant_000956	20	24	8
Variant_000957	60	24	10
Variant_000958	37	1	1
Variant_000959	37	11	4
Variant_000960	25	40	17
Variant_000961	256	270	163
Variant_000962	116	151	99
Variant_000963	100	97	50
Variant_000964	92	50	26
Variant_000965	131	79	48
Variant_000966	86	51	19
Variant_000967	72	30	13
Variant_000968	55	28	18
Variant_000969	119	118	62
Variant_000970	73	73	39
Variant_000971	51	35	33
Variant_000972	58	36	15
Variant_000973	79	42	25
Variant_000974	69	20	20
Variant_000975	65	29	13
Variant_000976	51	24	13
Variant_000977	114	123	49
Variant_000978	82	65	37
Variant_000979	69	66	42
Variant_000980	44	43	33
Variant_000981	89	38	30
Variant_000982	49	23	19
Variant_000983	43	22	23
Variant_000984	46	30	12
Variant_000985	103	66	38
Variant_000986	56	40	21
Variant_000987	75	33	17
Variant_000988	37	21	17
Variant_000989	65	34	31
Variant_000990	52	31	17
Variant_000991	68	25	11
Variant_000992	48	24	16
Variant_000993	116	128	74
Variant_000994	78	81	56
Variant_000995	63	70	49
Variant_000996	59	38	21
Variant_000997	69	34	22
Variant_000998	48	25	17
Variant_000999	70	23	16
Variant_001000	36	30	11
Variant_001001	76	35	17
Variant_001002	59	33	21
Variant_001003	45	31	26
Variant_001004	28	12	10
Variant_001005	75	44	28
Variant_001006	52	18	10
Variant_001007	68	11	18
Variant_001008	22	13	5
Variant_001009	97	91	57
