var	ctrl	d3g1lg4	d3g2l
Variant_012101	243	292	178
Variant_012102	123	170	89
Variant_012103	116	161	94
Variant_012104	90	152	77
Variant_012105	251	275	177
Variant_012106	75	104	67
Variant_012107	122	185	103
Variant_012108	73	68	46
Variant_012109	212	113	70
Variant_012110	77	70	41
Variant_012111	115	93	63
Variant_012112	73	48	23
Variant_012113	194	323	201
Variant_012114	95	177	107
Variant_012115	92	104	71
Variant_012116	90	197	127
Variant_012117	140	88	74
Variant_012118	48	28	17
Variant_012119	94	79	39
Variant_012120	47	48	35
Variant_012121	197	130	78
Variant_012122	74	38	23
Variant_012123	88	124	71
Variant_012124	67	138	73
Variant_012125	125	103	49
Variant_012126	41	21	19
Variant_012127	66	17	15
Variant_012128	46	24	13
Variant_012129	216	325	203
Variant_012130	93	154	101
Variant_012131	125	225	124
Variant_012132	113	198	110
Variant_012133	200	92	80
Variant_012134	76	49	22
Variant_012135	95	66	34
Variant_012136	58	65	31
Variant_012137	151	145	103
Variant_012138	57	96	60
Variant_012139	63	109	56
Variant_012140	51	65	52
Variant_012141	126	58	26
Variant_012142	37	25	9
Variant_012143	50	23	14
Variant_012144	24	17	5
Variant_012145	167	123	89
Variant_012146	61	64	50
Variant_012147	92	129	94
Variant_012148	65	111	61
Variant_012149	114	43	31
Variant_012150	40	20	9
Variant_012151	45	23	14
Variant_012152	33	35	30
Variant_012153	138	63	41
Variant_012154	47	46	17
Variant_012155	68	51	39
Variant_012156	25	23	10
Variant_012157	84	14	15
Variant_012158	36	13	11
Variant_012159	48	14	7
Variant_012160	20	22	11
Variant_012161	408	741	424
Variant_012162	190	439	282
Variant_012163	170	346	205
Variant_012164	172	285	185
Variant_012165	316	379	221
Variant_012166	137	147	93
Variant_012167	130	123	67
Variant_012168	123	115	60
Variant_012169	302	345	202
Variant_012170	121	200	91
Variant_012171	129	163	99
Variant_012172	93	132	75
Variant_012173	274	136	86
Variant_012174	96	79	42
Variant_012175	114	46	41
Variant_012176	72	42	18
Variant_012177	254	357	237
Variant_012178	104	187	116
Variant_012179	154	279	162
Variant_012180	112	163	111
Variant_012181	202	94	47
Variant_012182	56	52	21
Variant_012183	67	26	22
Variant_012184	41	48	22
Variant_012185	252	173	83
Variant_012186	95	68	44
Variant_012187	99	86	53
Variant_012188	67	39	26
Variant_012189	187	44	37
Variant_012190	65	43	27
Variant_012191	72	17	19
Variant_012192	33	24	15
Variant_012193	241	320	166
Variant_012194	119	188	117
Variant_012195	132	191	101
Variant_012196	90	144	86
Variant_012197	183	120	57
Variant_012198	92	74	41
Variant_012199	110	71	40
Variant_012200	50	54	28
Variant_012201	197	181	128
Variant_012202	61	57	28
Variant_012203	97	88	48
Variant_012204	64	35	31
Variant_012205	152	71	34
Variant_012206	41	16	10
Variant_012207	72	31	19
Variant_012208	43	36	27
Variant_012209	207	207	136
Variant_012210	80	106	51
Variant_012211	97	62	35
Variant_012212	72	39	27
Variant_012213	123	63	41
Variant_012214	48	35	34
Variant_012215	75	29	24
Variant_012216	38	15	17
Variant_012217	187	72	40
Variant_012218	56	47	27
Variant_012219	74	30	17
Variant_012220	50	22	6
Variant_012221	98	38	27
Variant_012222	41	20	7
Variant_012223	58	37	20
Variant_012224	26	11	14
Variant_012225	970	2457	1513
Variant_012226	495	1221	688
Variant_012227	602	1222	728
Variant_012228	493	1038	621
Variant_012229	1054	1524	886
Variant_012230	421	743	464
Variant_012231	404	392	258
Variant_012232	321	345	188
Variant_012233	893	1496	821
Variant_012234	317	616	360
Variant_012235	358	524	350
Variant_012236	241	466	244
Variant_012237	791	453	311
Variant_012238	280	245	136
Variant_012239	322	187	113
Variant_012240	199	148	100
Variant_012241	753	1304	769
Variant_012242	313	589	370
Variant_012243	395	658	362
Variant_012244	286	399	280
Variant_012245	505	418	248
Variant_012246	220	244	147
Variant_012247	267	156	110
Variant_012248	189	132	52
Variant_012249	657	682	435
Variant_012250	240	373	233
Variant_012251	343	223	145
Variant_012252	183	137	79
Variant_012253	530	211	130
Variant_012254	176	82	53
Variant_012255	241	73	45
Variant_012256	131	66	40
Variant_012257	814	1475	898
Variant_012258	306	578	376
Variant_012259	416	622	389
Variant_012260	302	513	290
Variant_012261	609	666	386
Variant_012262	213	182	118
Variant_012263	272	226	116
Variant_012264	195	145	79
Variant_012265	585	763	445
Variant_012266	204	240	168
Variant_012267	262	193	108
Variant_012268	190	195	92
Variant_012269	417	207	98
Variant_012270	119	74	50
Variant_012271	206	86	63
Variant_012272	102	58	34
Variant_012273	607	663	388
Variant_012274	201	293	193
Variant_012275	279	291	164
Variant_012276	182	224	120
Variant_012277	428	254	143
Variant_012278	161	111	63
Variant_012279	191	108	52
Variant_012280	111	62	54
Variant_012281	429	304	181
Variant_012282	151	156	101
Variant_012283	235	99	76
Variant_012284	108	91	50
Variant_012285	296	92	36
Variant_012286	88	11	15
Variant_012287	169	53	35
Variant_012288	55	22	13
Variant_012289	29	36	23
Variant_012290	29	31	19
Variant_012291	19	25	11
Variant_012292	10	17	9
Variant_012293	21	19	16
Variant_012294	15	11	8
Variant_012295	10	15	8
Variant_012296	7	9	1
Variant_012297	19	22	12
Variant_012298	8	8	5
Variant_012299	12	12	5
Variant_012300	7	5	4
Variant_012301	30	11	7
Variant_012302	9	5	5
Variant_012303	15	2	5
Variant_012304	6	0	0
Variant_012305	12	19	7
Variant_012306	23	28	16
Variant_012307	8	3	3
Variant_012308	4	4	0
Variant_012309	26	13	7
Variant_012310	12	13	5
Variant_012311	6	10	6
Variant_012312	1	2	3
Variant_012313	15	18	6
Variant_012314	16	7	8
Variant_012315	6	6	5
Variant_012316	2	5	1
Variant_012317	19	27	16
Variant_012318	8	1	5
Variant_012319	11	0	0
Variant_012320	3	0	0
Variant_012321	29	19	11
Variant_012322	13	21	12
Variant_012323	8	12	16
Variant_012324	10	7	5
Variant_012325	16	6	8
Variant_012326	8	7	6
Variant_012327	9	11	7
Variant_012328	3	0	0
Variant_012329	19	2	1
Variant_012330	6	3	2
Variant_012331	6	2	4
Variant_012332	1	1	1
Variant_012333	18	6	6
Variant_012334	10	8	3
Variant_012335	6	0	0
Variant_012336	4	0	0
Variant_012337	24	5	2
Variant_012338	10	13	13
Variant_012339	12	0	1
Variant_012340	10	9	10
Variant_012341	6	3	2
Variant_012342	5	11	6
Variant_012343	7	9	4
Variant_012344	4	2	2
Variant_012345	19	2	5
Variant_012346	10	9	7
Variant_012347	8	3	0
Variant_012348	5	6	12
Variant_012349	10	2	1
Variant_012350	8	0	5
Variant_012351	5	4	0
Variant_012352	4	3	2
Variant_012353	69	53	26
Variant_012354	38	32	14
Variant_012355	42	64	34
Variant_012356	23	25	11
Variant_012357	54	33	18
Variant_012358	34	36	14
Variant_012359	43	17	9
Variant_012360	15	17	5
Variant_012361	44	29	16
Variant_012362	23	12	16
Variant_012363	22	14	10
Variant_012364	13	17	10
Variant_012365	46	12	8
Variant_012366	11	22	8
Variant_012367	22	14	11
Variant_012368	14	6	3
Variant_012369	41	30	17
Variant_012370	28	26	17
Variant_012371	21	26	14
Variant_012372	19	8	11
Variant_012373	31	8	3
Variant_012374	19	12	4
Variant_012375	17	13	5
Variant_012376	9	1	0
Variant_012377	24	18	7
Variant_012378	20	8	6
Variant_012379	26	19	12
Variant_012380	7	0	1
Variant_012381	30	22	12
Variant_012382	11	3	4
Variant_012383	18	3	3
Variant_012384	6	7	5
Variant_012385	62	34	10
Variant_012386	16	21	18
Variant_012387	30	39	19
Variant_012388	24	15	8
Variant_012389	41	17	15
Variant_012390	13	7	4
Variant_012391	31	5	4
Variant_012392	5	4	6
Variant_012393	26	18	8
Variant_012394	13	23	7
Variant_012395	10	2	6
Variant_012396	8	7	6
Variant_012397	26	10	11
Variant_012398	14	6	2
Variant_012399	16	18	4
Variant_012400	4	0	1
Variant_012401	49	31	18
Variant_012402	21	22	6
Variant_012403	14	3	4
Variant_012404	13	14	9
Variant_012405	28	20	6
Variant_012406	15	3	1
Variant_012407	17	0	1
Variant_012408	7	3	2
Variant_012409	38	21	11
Variant_012410	18	7	2
Variant_012411	20	13	6
Variant_012412	4	19	14
Variant_012413	29	9	4
Variant_012414	13	6	2
Variant_012415	13	10	12
Variant_012416	7	2	1
Variant_012417	52	78	40
Variant_012418	24	55	31
Variant_012419	34	53	30
Variant_012420	20	11	7
Variant_012421	48	44	17
Variant_012422	28	23	11
Variant_012423	12	14	10
Variant_012424	8	5	10
Variant_012425	41	22	15
Variant_012426	26	10	5
Variant_012427	12	12	12
Variant_012428	17	11	8
Variant_012429	33	14	7
Variant_012430	16	14	7
Variant_012431	17	17	17
Variant_012432	9	1	3
Variant_012433	39	25	17
Variant_012434	18	36	24
Variant_012435	21	28	19
Variant_012436	11	34	18
Variant_012437	33	12	12
Variant_012438	10	1	3
Variant_012439	15	12	11
Variant_012440	5	7	9
Variant_012441	37	28	14
Variant_012442	27	23	16
Variant_012443	11	10	3
Variant_012444	11	14	9
Variant_012445	33	23	18
Variant_012446	16	22	23
Variant_012447	13	7	4
Variant_012448	8	2	1
Variant_012449	48	39	24
Variant_012450	28	30	27
Variant_012451	16	20	17
Variant_012452	10	5	4
Variant_012453	43	24	20
Variant_012454	15	13	11
Variant_012455	18	17	13
Variant_012456	8	5	0
Variant_012457	23	17	12
Variant_012458	21	14	3
Variant_012459	11	8	7
Variant_012460	8	2	1
Variant_012461	24	5	2
Variant_012462	5	3	1
Variant_012463	3	9	6
Variant_012464	4	2	1
Variant_012465	52	36	27
Variant_012466	22	7	4
Variant_012467	22	4	8
Variant_012468	11	5	2
Variant_012469	38	21	16
Variant_012470	13	6	2
Variant_012471	10	2	4
Variant_012472	10	6	3
Variant_012473	25	28	7
Variant_012474	13	5	7
Variant_012475	12	23	11
Variant_012476	7	3	1
Variant_012477	24	19	13
Variant_012478	4	5	1
Variant_012479	8	1	0
Variant_012480	3	0	0
Variant_012481	85	116	41
Variant_012482	53	108	60
Variant_012483	46	38	29
Variant_012484	34	32	20
Variant_012485	76	50	23
Variant_012486	38	44	27
Variant_012487	30	23	20
Variant_012488	25	9	14
Variant_012489	56	39	29
Variant_012490	30	28	22
Variant_012491	29	20	16
Variant_012492	16	14	6
Variant_012493	34	22	8
Variant_012494	23	3	3
Variant_012495	27	8	6
Variant_012496	9	18	14
Variant_012497	81	98	52
Variant_012498	45	23	13
Variant_012499	46	24	18
Variant_012500	26	16	10
Variant_012501	52	34	19
Variant_012502	15	5	3
Variant_012503	24	11	5
Variant_012504	10	12	8
Variant_012505	55	22	18
Variant_012506	27	15	6
Variant_012507	19	9	8
Variant_012508	16	9	7
Variant_012509	38	33	9
Variant_012510	24	12	16
Variant_012511	22	5	5
Variant_012512	10	6	7
Variant_012513	75	45	19
Variant_012514	40	26	18
Variant_012515	33	30	24
Variant_012516	24	10	5
Variant_012517	44	30	25
Variant_012518	18	23	18
Variant_012519	21	8	11
Variant_012520	12	6	4
Variant_012521	42	13	11
Variant_012522	11	38	33
Variant_012523	23	10	3
Variant_012524	8	13	4
Variant_012525	42	14	9
Variant_012526	13	4	6
Variant_012527	16	3	2
Variant_012528	7	8	2
Variant_012529	69	41	26
Variant_012530	44	29	12
Variant_012531	36	29	14
Variant_012532	12	17	9
Variant_012533	58	21	18
Variant_012534	27	10	4
Variant_012535	15	3	5
Variant_012536	12	8	3
Variant_012537	57	38	20
Variant_012538	26	23	18
Variant_012539	32	16	8
Variant_012540	7	1	0
Variant_012541	37	33	17
Variant_012542	24	11	3
Variant_012543	16	7	2
Variant_012544	2	0	0
Variant_012545	52	96	54
Variant_012546	29	39	23
Variant_012547	31	36	33
Variant_012548	20	29	14
Variant_012549	35	25	6
Variant_012550	16	21	12
Variant_012551	27	20	11
Variant_012552	11	11	3
Variant_012553	26	10	10
Variant_012554	20	26	14
Variant_012555	12	17	15
Variant_012556	9	21	9
Variant_012557	27	28	9
Variant_012558	24	11	1
Variant_012559	19	6	3
Variant_012560	5	5	2
Variant_012561	36	15	9
Variant_012562	12	20	18
Variant_012563	17	30	9
Variant_012564	6	9	3
Variant_012565	27	19	16
Variant_012566	14	11	4
Variant_012567	13	0	0
Variant_012568	13	22	16
Variant_012569	33	24	15
Variant_012570	13	0	0
Variant_012571	18	10	4
Variant_012572	8	8	5
Variant_012573	20	9	9
Variant_012574	11	2	6
Variant_012575	16	18	4
Variant_012576	3	2	3
Variant_012577	26	40	28
Variant_012578	14	7	9
Variant_012579	30	25	19
Variant_012580	14	12	5
Variant_012581	25	16	7
Variant_012582	15	19	10
Variant_012583	18	9	4
Variant_012584	10	15	11
Variant_012585	24	35	20
Variant_012586	20	28	22
Variant_012587	14	6	6
Variant_012588	8	4	0
Variant_012589	20	11	10
Variant_012590	18	2	7
Variant_012591	7	6	10
Variant_012592	3	1	2
Variant_012593	29	13	14
Variant_012594	13	13	8
Variant_012595	10	12	4
Variant_012596	6	6	1
Variant_012597	25	11	7
Variant_012598	14	4	1
Variant_012599	12	0	0
Variant_012600	8	2	2
Variant_012601	34	15	6
Variant_012602	4	10	9
Variant_012603	14	6	5
Variant_012604	6	11	5
Variant_012605	24	9	7
Variant_012606	8	6	3
Variant_012607	5	2	0
Variant_012608	2	0	0
Variant_012609	105	121	73
Variant_012610	52	52	34
Variant_012611	35	80	63
Variant_012612	33	76	44
Variant_012613	73	55	22
Variant_012614	43	41	22
Variant_012615	34	19	12
Variant_012616	24	22	17
Variant_012617	60	53	20
Variant_012618	33	27	17
Variant_012619	26	16	4
Variant_012620	22	16	18
Variant_012621	50	23	9
Variant_012622	36	16	9
Variant_012623	21	9	3
Variant_012624	13	10	8
Variant_012625	68	75	48
Variant_012626	34	61	28
Variant_012627	34	19	14
Variant_012628	19	30	12
Variant_012629	47	32	21
Variant_012630	28	22	17
Variant_012631	22	6	6
Variant_012632	7	2	3
Variant_012633	43	49	19
Variant_012634	22	12	6
Variant_012635	32	13	10
Variant_012636	12	0	1
Variant_012637	43	24	11
Variant_012638	20	28	18
Variant_012639	22	4	2
Variant_012640	9	3	4
Variant_012641	88	58	41
Variant_012642	33	25	16
Variant_012643	47	35	24
Variant_012644	37	25	23
Variant_012645	62	22	8
Variant_012646	31	20	10
Variant_012647	32	20	9
Variant_012648	16	11	6
Variant_012649	41	41	19
Variant_012650	19	20	8
Variant_012651	22	20	6
Variant_012652	14	12	4
Variant_012653	40	18	14
Variant_012654	19	10	7
Variant_012655	15	12	9
Variant_012656	9	1	1
Variant_012657	77	53	39
Variant_012658	30	24	11
Variant_012659	24	20	9
Variant_012660	23	7	10
Variant_012661	47	17	12
Variant_012662	17	18	19
Variant_012663	25	9	7
Variant_012664	14	3	2
Variant_012665	52	45	22
Variant_012666	18	28	14
Variant_012667	21	44	20
Variant_012668	13	10	7
Variant_012669	27	7	2
Variant_012670	15	10	5
Variant_012671	20	2	2
Variant_012672	14	6	2
Variant_012673	102	169	77
Variant_012674	56	73	45
Variant_012675	50	90	61
Variant_012676	45	23	10
Variant_012677	93	65	38
Variant_012678	37	33	23
Variant_012679	32	7	8
Variant_012680	21	18	13
Variant_012681	77	93	56
Variant_012682	33	24	13
Variant_012683	21	8	5
Variant_012684	17	13	8
Variant_012685	53	33	12
Variant_012686	31	14	16
Variant_012687	36	12	11
Variant_012688	16	10	9
Variant_012689	59	74	42
Variant_012690	36	38	21
Variant_012691	25	23	21
Variant_012692	17	12	6
Variant_012693	46	25	11
Variant_012694	35	19	11
Variant_012695	27	21	12
Variant_012696	13	5	4
Variant_012697	57	34	14
Variant_012698	23	11	5
Variant_012699	33	31	21
Variant_012700	15	1	4
Variant_012701	46	26	14
Variant_012702	22	14	8
Variant_012703	21	4	4
Variant_012704	4	1	0
Variant_012705	68	109	67
Variant_012706	42	56	24
Variant_012707	49	71	41
Variant_012708	27	42	19
Variant_012709	62	20	9
Variant_012710	27	19	14
Variant_012711	28	14	8
Variant_012712	11	5	7
Variant_012713	58	64	29
Variant_012714	25	40	24
Variant_012715	16	13	9
Variant_012716	16	16	11
Variant_012717	38	11	3
Variant_012718	22	14	6
Variant_012719	21	2	2
Variant_012720	13	3	0
Variant_012721	70	49	20
Variant_012722	37	41	25
Variant_012723	39	14	14
Variant_012724	35	21	6
Variant_012725	54	24	22
Variant_012726	33	23	21
Variant_012727	17	7	10
Variant_012728	13	19	5
Variant_012729	60	48	20
Variant_012730	19	6	5
Variant_012731	18	9	6
Variant_012732	15	10	10
Variant_012733	39	16	16
Variant_012734	16	14	8
Variant_012735	22	7	3
Variant_012736	10	9	2
Variant_012737	178	180	99
Variant_012738	99	121	72
Variant_012739	72	116	70
Variant_012740	52	54	24
Variant_012741	151	72	52
Variant_012742	65	43	30
Variant_012743	74	56	45
Variant_012744	42	14	14
Variant_012745	109	97	55
Variant_012746	56	30	18
Variant_012747	68	88	45
Variant_012748	29	27	16
Variant_012749	116	71	33
Variant_012750	57	27	25
Variant_012751	62	31	26
Variant_012752	27	10	8
Variant_012753	136	104	61
Variant_012754	52	65	33
Variant_012755	46	42	44
Variant_012756	37	44	24
Variant_012757	82	40	22
Variant_012758	42	49	31
Variant_012759	47	31	18
Variant_012760	18	16	12
Variant_012761	113	116	86
Variant_012762	48	47	22
Variant_012763	38	20	15
Variant_012764	32	46	24
Variant_012765	78	34	20
Variant_012766	50	22	18
Variant_012767	38	18	10
Variant_012768	22	13	7
Variant_012769	142	106	70
Variant_012770	68	43	17
Variant_012771	76	75	52
Variant_012772	33	34	25
Variant_012773	128	82	42
Variant_012774	51	42	31
Variant_012775	54	24	16
Variant_012776	23	13	5
Variant_012777	90	62	31
Variant_012778	30	26	16
Variant_012779	42	38	14
Variant_012780	25	36	19
Variant_012781	63	24	17
Variant_012782	30	28	18
Variant_012783	29	10	10
Variant_012784	8	3	2
Variant_012785	133	89	34
Variant_012786	73	38	24
Variant_012787	73	31	16
Variant_012788	32	19	8
Variant_012789	94	28	17
Variant_012790	64	23	12
Variant_012791	48	18	5
Variant_012792	24	19	10
Variant_012793	103	77	48
Variant_012794	40	9	8
Variant_012795	46	16	13
Variant_012796	22	7	7
Variant_012797	45	31	26
Variant_012798	32	10	9
Variant_012799	23	2	1
Variant_012800	6	3	3
Variant_012801	51	42	22
Variant_012802	17	27	12
Variant_012803	25	29	21
Variant_012804	19	33	19
Variant_012805	33	28	17
Variant_012806	18	31	22
Variant_012807	17	33	17
Variant_012808	16	3	4
Variant_012809	22	23	6
Variant_012810	14	27	22
Variant_012811	11	9	0
Variant_012812	5	14	9
Variant_012813	20	22	18
Variant_012814	12	9	4
Variant_012815	10	4	6
Variant_012816	9	8	9
Variant_012817	35	24	17
Variant_012818	29	25	11
Variant_012819	15	6	9
Variant_012820	9	14	14
Variant_012821	27	3	1
Variant_012822	16	14	11
Variant_012823	12	12	5
Variant_012824	5	1	1
Variant_012825	28	18	13
Variant_012826	15	6	2
Variant_012827	15	12	5
Variant_012829	22	12	13
Variant_012830	12	16	6
Variant_012831	17	1	1
Variant_012832	7	4	0
Variant_012833	38	30	19
Variant_012834	25	13	4
Variant_012835	16	32	18
Variant_012836	11	15	10
Variant_012837	30	21	10
Variant_012838	11	14	6
Variant_012839	10	3	2
Variant_012840	7	3	2
Variant_012841	23	23	8
Variant_012842	8	6	6
Variant_012843	7	7	6
Variant_012844	2	0	0
Variant_012845	15	0	0
Variant_012846	6	7	3
Variant_012847	13	2	0
Variant_012848	7	5	3
Variant_012849	22	15	13
Variant_012850	33	18	11
Variant_012851	15	9	10
Variant_012852	5	10	6
Variant_012853	28	26	15
Variant_012854	11	5	3
Variant_012855	13	14	2
Variant_012856	7	6	6
Variant_012857	16	10	4
Variant_012858	13	0	0
Variant_012859	6	11	4
Variant_012860	9	2	1
Variant_012861	7	1	0
Variant_012862	7	0	1
Variant_012863	7	1	0
Variant_012864	2	3	0
Variant_012865	82	124	67
Variant_012866	47	42	30
Variant_012867	36	40	30
Variant_012868	21	35	20
Variant_012869	66	45	42
Variant_012870	35	17	14
Variant_012871	46	49	32
Variant_012872	18	19	9
Variant_012873	53	43	22
Variant_012874	34	16	11
Variant_012875	18	18	16
Variant_012876	15	14	10
Variant_012877	68	63	26
Variant_012878	35	9	10
Variant_012879	34	20	13
Variant_012880	11	10	0
Variant_012881	40	66	32
Variant_012882	33	32	17
Variant_012883	17	12	10
Variant_012884	12	7	6
Variant_012885	38	38	16
Variant_012886	27	6	10
Variant_012887	16	7	0
Variant_012888	14	2	2
Variant_012889	52	19	22
Variant_012890	19	10	8
Variant_012891	21	17	3
Variant_012892	7	13	7
Variant_012893	43	16	11
Variant_012894	24	12	13
Variant_012895	24	4	8
Variant_012896	8	0	0
Variant_012897	48	47	30
Variant_012898	25	15	8
Variant_012899	32	64	35
Variant_012900	30	26	19
Variant_012901	52	57	30
Variant_012902	28	22	9
Variant_012903	26	17	11
Variant_012904	10	13	7
Variant_012905	42	29	16
Variant_012906	11	12	8
Variant_012907	24	2	1
Variant_012908	9	9	6
Variant_012909	33	12	10
Variant_012910	15	3	1
Variant_012911	9	0	1
Variant_012912	15	4	8
Variant_012913	57	57	27
Variant_012914	35	25	15
Variant_012915	35	24	8
Variant_012916	24	31	12
Variant_012917	45	25	11
Variant_012918	20	10	11
Variant_012919	19	12	14
Variant_012920	18	5	3
Variant_012921	39	26	15
Variant_012922	16	4	6
Variant_012923	17	11	9
Variant_012924	15	9	8
Variant_012925	30	7	7
Variant_012926	19	12	6
Variant_012927	17	3	1
Variant_012928	17	7	2
Variant_012929	94	113	61
Variant_012930	49	43	36
Variant_012931	47	102	42
Variant_012932	28	33	16
Variant_012933	68	53	35
Variant_012934	27	25	14
Variant_012935	26	22	21
Variant_012936	17	21	11
Variant_012937	45	47	17
Variant_012938	25	13	4
Variant_012939	30	29	11
Variant_012940	12	6	4
Variant_012941	58	28	23
Variant_012942	33	13	4
Variant_012943	22	5	3
Variant_012944	13	10	6
Variant_012945	63	70	40
Variant_012946	24	26	11
Variant_012947	34	18	14
Variant_012948	19	28	26
Variant_012949	45	33	12
Variant_012950	30	45	25
Variant_012951	13	8	4
Variant_012952	19	13	9
Variant_012953	49	37	12
Variant_012954	26	37	29
Variant_012955	18	3	1
Variant_012956	7	4	3
Variant_012957	32	18	7
Variant_012958	34	11	12
Variant_012959	28	11	10
Variant_012960	7	5	3
Variant_012961	60	57	35
Variant_012962	33	26	23
Variant_012963	30	42	24
Variant_012964	28	23	17
Variant_012965	60	21	9
Variant_012966	26	10	5
Variant_012967	20	13	10
Variant_012968	11	14	8
Variant_012969	43	28	15
Variant_012970	20	21	13
Variant_012971	12	8	8
Variant_012972	10	11	3
Variant_012973	25	10	7
Variant_012974	11	12	9
Variant_012975	22	8	7
Variant_012976	13	10	4
Variant_012977	57	38	24
Variant_012978	40	37	25
Variant_012979	28	19	4
Variant_012980	24	13	3
Variant_012981	38	33	23
Variant_012982	19	16	7
Variant_012983	22	18	18
Variant_012984	17	15	10
Variant_012985	41	13	10
Variant_012986	17	3	6
Variant_012987	14	10	4
Variant_012988	21	7	2
Variant_012989	22	31	14
Variant_012990	15	2	2
Variant_012991	14	1	1
Variant_012992	8	2	1
Variant_012993	134	141	92
Variant_012994	66	99	61
Variant_012995	61	93	55
Variant_012996	38	34	24
Variant_012997	111	78	63
Variant_012998	60	45	34
Variant_012999	56	36	31
Variant_013000	37	25	13
Variant_013001	66	51	23
Variant_013002	50	12	12
Variant_013003	52	63	28
Variant_013004	22	33	8
Variant_013005	91	35	35
Variant_013006	53	28	20
Variant_013007	44	36	21
Variant_013008	24	10	9
Variant_013009	103	140	65
Variant_013010	45	55	34
Variant_013011	45	28	16
Variant_013012	38	29	25
Variant_013013	79	49	28
Variant_013014	34	23	14
Variant_013015	40	31	19
Variant_013016	28	20	26
Variant_013017	74	45	31
Variant_013018	29	19	8
Variant_013019	39	26	24
Variant_013020	25	3	0
Variant_013021	47	52	26
Variant_013022	35	42	17
Variant_013023	36	7	7
Variant_013024	22	8	8
Variant_013025	104	132	62
Variant_013026	44	24	19
Variant_013027	58	66	41
Variant_013028	21	13	13
Variant_013029	98	60	36
Variant_013030	33	54	27
Variant_013031	34	33	20
Variant_013032	28	10	2
Variant_013033	66	26	32
Variant_013034	42	23	17
Variant_013035	35	29	22
Variant_013036	13	15	5
Variant_013037	56	39	19
Variant_013038	17	3	9
Variant_013039	34	1	3
Variant_013040	10	2	2
Variant_013041	115	94	59
Variant_013042	33	49	23
Variant_013043	45	20	25
Variant_013044	24	13	8
Variant_013045	87	48	35
Variant_013046	42	10	5
Variant_013047	35	13	12
Variant_013048	20	23	13
Variant_013049	56	40	24
Variant_013050	24	14	9
Variant_013051	23	21	14
Variant_013052	13	5	5
Variant_013053	46	38	19
Variant_013054	23	9	8
Variant_013055	34	9	4
Variant_013056	13	0	0
Variant_013057	81	112	69
Variant_013058	47	84	56
Variant_013059	48	109	72
Variant_013060	30	36	30
Variant_013061	70	39	22
Variant_013062	43	53	30
Variant_013063	31	15	11
Variant_013064	25	14	6
Variant_013065	50	50	37
Variant_013066	22	31	21
Variant_013067	18	29	21
Variant_013068	10	27	11
Variant_013069	55	26	14
Variant_013070	20	4	5
Variant_013071	27	9	6
Variant_013072	21	5	5
Variant_013073	59	61	34
Variant_013074	26	26	21
Variant_013075	31	22	16
Variant_013076	24	27	7
Variant_013077	31	10	4
Variant_013078	18	17	5
Variant_013079	30	21	18
Variant_013080	10	0	2
Variant_013081	42	20	13
Variant_013082	21	13	8
Variant_013083	21	7	4
Variant_013084	14	6	4
Variant_013085	37	19	22
Variant_013086	22	4	4
Variant_013087	20	4	2
Variant_013088	5	5	2
Variant_013089	59	104	58
Variant_013090	23	30	20
Variant_013091	41	78	40
Variant_013092	25	33	23
Variant_013093	41	20	8
Variant_013094	19	15	15
Variant_013095	28	15	5
Variant_013096	15	16	4
Variant_013097	33	29	17
Variant_013098	19	19	9
Variant_013099	12	9	4
Variant_013100	3	14	8
Variant_013101	40	23	13
Variant_013102	14	6	5
Variant_013103	15	6	1
Variant_013104	6	3	2
Variant_013105	68	58	41
Variant_013106	26	37	25
Variant_013107	34	47	30
Variant_013108	16	17	13
Variant_013109	50	24	11
Variant_013110	24	22	13
Variant_013111	27	21	14
Variant_013112	1	1	0
Variant_013113	43	26	15
Variant_013114	16	11	5
Variant_013115	15	18	7
Variant_013116	10	23	6
Variant_013117	27	12	10
Variant_013118	9	1	1
Variant_013119	12	2	2
Variant_013120	10	9	7
Variant_013121	154	203	111
Variant_013122	76	82	73
Variant_013123	66	83	53
Variant_013124	54	41	24
Variant_013125	118	54	36
Variant_013126	60	42	28
Variant_013127	45	32	18
Variant_013128	32	23	15
Variant_013129	79	66	50
Variant_013130	38	49	35
Variant_013131	34	38	28
Variant_013132	15	11	5
Variant_013133	75	35	27
Variant_013134	48	28	14
Variant_013135	47	25	8
Variant_013136	21	5	9
Variant_013137	85	194	94
Variant_013138	45	22	22
Variant_013139	45	56	40
Variant_013140	24	31	27
Variant_013141	71	28	16
Variant_013142	33	21	16
Variant_013143	44	25	22
Variant_013144	14	5	11
Variant_013145	76	77	50
Variant_013146	33	14	12
Variant_013147	43	29	8
Variant_013148	26	10	5
Variant_013149	53	42	17
Variant_013150	38	34	16
Variant_013151	28	19	4
Variant_013152	26	14	6
Variant_013153	109	104	60
Variant_013154	62	55	29
Variant_013155	68	50	30
Variant_013156	33	31	22
Variant_013157	83	52	36
Variant_013158	36	20	22
Variant_013159	41	9	11
Variant_013160	27	6	10
Variant_013161	66	53	41
Variant_013162	23	17	4
Variant_013163	33	29	18
Variant_013164	14	7	5
Variant_013165	48	36	12
Variant_013166	31	22	16
Variant_013167	32	5	8
Variant_013168	13	10	3
Variant_013169	118	110	83
Variant_013170	59	32	23
Variant_013171	60	53	41
Variant_013172	30	42	29
Variant_013173	83	31	18
Variant_013174	40	32	16
Variant_013175	42	14	8
